poste;Part importée;Tva avant;Tva après;Droit acciseavant;Droit accise après;Droit de douanesavant;Droit de douanes après
Education et formation;0;0;0;0;0;0;0
Produits édités et imprimés;0,57;0,18;0,18;0;0;0,12;0,07
Services de santé humaine;0,01;0;0;0;0;0;0
Produits pharmaceutiques;0,53;0;0;0;0;0,02;0,02
Mil-sorgho;0;0;0;0;0;0,07;0,07
Maïs;0,32;0;0;0;0;0,22;0,22
Fonio;0;0;0;0;0;0,07;0,07
Farine de mil et Sorgho;0;0,18;0,18;0;0;0,22;0,22
Riz importé;1;0;0;0;0;0,07;0,12
Riz local;0;0;0;0;0;0,12;0,12
Arachide-coques;0;0;0;0;0;0,07;0,12
Huile de palme;0;0,18;0,18;0;0;0,07;0,07
Huile raffinée végétale (arachide, coton, colza);0,03;0,18;0,18;0,15;0,15;0,22;0,07
Autres corps gras alimentaires , autres produits agricoles oléagineux;0,28;0,18;0,18;0,05;0,05;0,22;0,22
Conserves de tomate;0,01;0,18;0,18;0;0;0,22;0,22
Tomates;0;0;0;0;0;0,22;0,22
Manioc;0;0;0;0;0;0,22;0,22
Légumes;0,13;0;0;0;0;0,22;0,22
Condiments et assaisonnement;0,01;0,18;0,18;0;0;0;0
Fruits;0,16;0;0;0;0;0,22;0,22
Bars et restaurants;0;0,18;0,18;0;0;0;0
Poisson frais;0;0;0;0;0;0,12;0,22
Poisson séché,salé et fûmé;0;0,18;0,18;0;0;0,22;0,22
Viandes;0;0,18;0,18;0;0;0,22;0,22
Ovins sur pied;0;0;0;0;0;0,22;0,12
Bovins sur pied;0;0;0;0;0;0,22;0,12
Volailles traditionnelles;0;0;0;0;0;0,22;0,22
Sucre;0,57;0,18;0,18;0;0;0,22;0,22
café et thé transformé;0,22;0,18;0,18;0,04;0,05;0,22;0,12
Plantes et fleurs;0,28;0;0;0,04;0,05;0,22;0,12
Eaux de table;0,13;0,18;0,18;0,03;0,03;0,22;0,22
Bière, autres boissons alcoolisées et malt;0,12;0,18;0,18;0,3;0,4;0,22;0,22
Pain;0,33;0,18;0,18;0;0;0,07;0,07
Pâtisserie de conservation, biscuits;0,21;0,18;0,18;0;0;0,22;0,37
Produits laitiers;0,88;0,18;0,18;0;0;0,07;0,07
Produits d'entretien et glycérine;0,06;0,18;0,18;0;0;0,22;0,22
gaz;0,72;0;0;0;0;0,02;0,02
Charbon de bois;0;0;0;0;0;0,07;0,07
Bois en agrumes;0;0;0;0;0;0,07;0,07
Services immobiliers du logement;0;0,18;0,18;0;0;0;0
Bougies;0,14;0,18;0,18;0;0;0,22;0,22
Pétrole;0,72;0,18;0,18;0;0;0,07;0,07
Cigarettes;0,02;0,18;0,18;0,2;0,4;0,22;0,22
Autres services associatifs, récréatifs, culturels ou sportifs;0;0,18;0,18;0;0;0;0
Services domestiques;0;0,18;0,18;0;0;0;0
uniforme scolaire;0,43;0;0;0;0;0,22;0,22
Articles d'habillement;0,43;0,18;0,18;0;0;0,22;0,22
Tissus imprimés et teints;0;0,18;0,18;0;0;0,22;0,22
Chaussures;0,19;0,18;0,18;0;0;0,22;0,22
gasoil, essence ordinaire, super carburant;0,72;0,18;0,18;0,38;0,4;0,12;0,12
Services de transports de passagers;0,72;0,18;0,18;0,38;0,4;0,12;0,12
Réparation, entretien, modification de logement;0;0,18;0,18;0;0;0;0
Autres farines, céréales transformées, sons, résidus de meunerie et produits amylacés;0,02;0,18;0,18;0;0;0,07;0,12
Eau courante;0;0,18;0,18;0;0;0;0
Electricité, production et distribution;0;0,18;0,18;0;0;0;0
Assainissement voirie et gestion des déchets;0;0,18;0,18;0;0;0;0
Services des réseaux de télécommunications;0;0,18;0,18;0,05;0,05;0;0
Services d'accès aux réseaux de télécommunication (cybercafé, télécentre);0;0,18;0,18;0;0;0;0
Sommiers et matelas;0,19;0,18;0,18;0;0;0,22;0,22
Equipements appareils radios, télévision et de communication;1;0,18;0,18;0;0;0,07;0,07
Machines, appareils et matériels nca;1;0,18;0,18;0;0;0,07;0,07
Produits de métallurgie et de fonderie;0;0,18;0,18;0;0;0;0
Autres machines et appareils électriques;1;0,18;0,18;0;0;0,07;0,07
Autres mobiliers;0,51;0,18;0,18;0;0;0,22;0,22
Vélos et motocycles;1;0,18;0,18;0;0;0,07;0,07
Véhicules automobiles et remorques;0,69;0,18;0,18;0;0;0,22;0,22
parfums, produits de toilette;0,25;0,18;0,18;0,1;0,1;0,22;0,22
Boissons de fabrication traditionnelle;0;0;0;0;0;0,22;0,22
Entretien et réparation de machines, automobiles;0;0,18;0,18;0;0;0;0
Auto conso agric;0;0;0;0;0;0;0
Auto conso élév;0;0;0;0;0;0;0
Auto conso peche;0;0;0;0;0;0;0
Achats et modification de parrures (bijoux, colliers, chaines, bracelets, etc,);0,03;0,18;0,18;0;0;0,22;0,22
Loyer imputé;0;0;0;0;0;0;0
Transport éducation;0,72;0;0;0,38;0,4;0,12;0,12
Transport santé;0,72;0;0;0,38;0,4;0,12;0,12
Dépenses de construction de logement/Achat de terrain, de logement clef en main;0;0,18;0,18;0;0;0;0
Impôts, amendes, taxes contravention;0;0;0;0;0;0;0
Mobilier et equipement durable (salon, armoires, lits, bahut, bibliothèque, frigo, cuisinière, vidéo, tv, réfrigérateur, climatiseur, fourneau à gaz…,,);0,7;0,18;0,18;0;0;0,22;0,22
Achats de moyens de transports (voiture, cyclomoteur, bicyclettes, etc,…);1;0,18;0,18;0;0;0,22;0,22
Grosses réparations;0;0,18;0,18;0;0;0,07;0,12
Emballages métalliques;0;0,18;0,18;0;0;0;0
Epices et autres produits de l'agriculture vivriere;0;0;0;0;0;0,22;0,22
Fauteuil, canapé;0,51;0,18;0,18;0;0;0,22;0,22
Articles de bonneterie et autres articles textiles;0,19;0,18;0,18;0;0;0,22;0,22
Services de coiffure et autres soins de beauté;0;0,18;0,18;0;0;0;0
